"","Player","Tm","Salary","idTeam","gp","gs","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts"
"119","Jared Dudley","PHO",1e+07,0,788,260,2.9,6.2,0.467,1,2.6,0,0.733,1.9,3.6,0.527777777777778,23.4,1.1,1.6,1,2.4,3.3,1.6,0.8,0.2,0.9,1.8,8
"120","Darren Collison","IND",1e+07,0,632,441,4.7,9.9,0.472,0.9,2.2,0,0.855,3.8,7.7,0.493506493506494,29.5,2.4,2.8,0.5,2.1,2.6,4.9,1.1,0.2,2,1.7,12.7
"121","Danny Green","SAS",1e+07,0,540,464,3.1,7.5,0.418,1.8,4.5,0,0.815,1.3,3,0.433333333333333,25.1,0.8,1,0.6,2.9,3.4,1.6,1,0.8,1,1.7,8.8
"122","Meyers Leonard","POR",9904495,0,332,40,2.1,4.5,0.468,0.7,1.8,0,0.824,1.4,2.7,0.518518518518518,15.7,0.6,0.7,0.7,3,3.7,0.8,0.2,0.3,0.7,2.3,5.5
"123","Tony Snell","MIL",9821429,0,368,206,2.3,5.5,0.42,1.2,3.1,0,0.809,1.1,2.4,0.458333333333333,22.6,0.5,0.6,0.3,2.1,2.4,1.1,0.5,0.2,0.6,1.4,6.3
"124","Al Jefferson","IND",9769821,0,915,651,6.7,13.5,0.499,0,0.1,0,0.711,6.7,13.4,0.5,28.7,2.2,3.1,2.2,6.2,8.4,1.5,0.7,1.2,1.3,2.6,15.7
"125","Matthew Dellavedova","MIL",9607500,0,329,88,2.1,5.5,0.391,1,2.6,0,0.84,1.1,2.9,0.379310344827586,21.9,0.7,0.8,0.4,1.5,1.9,3.7,0.5,0,1.3,2,6
"126","Joe Johnson","SAC",9505000,0,1276,1091,6.1,13.9,0.441,1.6,4.2,0,0.802,4.5,9.7,0.463917525773196,34.7,2.2,2.7,0.8,3.1,4,3.9,0.8,0.2,1.9,1.8,16
"127","Bogdan Bogdanovic","SAC",9470614,0,78,52,4.4,9.9,0.446,1.7,4.2,0,0.84,2.7,5.7,0.473684210526316,27.9,1.3,1.5,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.2,11.8
"128","Andre Roberson","OKC",9259259,0,295,269,1.9,4,0.482,0.4,1.4,0,0.467,1.5,2.6,0.576923076923077,22.5,0.4,0.9,1.2,2.8,4,0.9,0.9,0.7,0.6,2.2,4.6
"129","Trevor Booker","PHI",9125000,0,532,162,2.9,5.6,0.515,0.1,0.5,0,0.636,2.8,5.1,0.549019607843137,20.4,1,1.5,1.9,3.6,5.5,1.1,0.7,0.5,1,2,6.9
"130","Dwight Powell","DAL",9003125,0,254,29,2.5,4.6,0.535,0.2,0.7,0,0.739,2.3,3.9,0.58974358974359,16.7,1.5,2,1.3,2.9,4.2,0.8,0.7,0.4,0.6,1.9,6.6
